"","topic","perturbation","ranking"
"1","Topic1","PHIP",1
"2","Topic1","UBXN7",2
"3","Topic1","SMARCA5",3
"4","Topic1","PCBD1",4
"5","Topic1","ADAM17",5
"6","Topic1","CABIN1",6
"7","Topic1","SH3YL1",7
"8","Topic1","PHF6",8
"9","Topic1","SIAH1",9
"10","Topic1","PIAS2",10
"11","Topic1","ATRX",11
"12","Topic1","ACE2",12
"13","Topic1","SMARCA4",13
"14","Topic1","DPP4",14
"15","Topic1","SMAD4",15
"16","Topic1","LOC103223006",16
"17","Topic2","ACE2",1
"18","Topic2","TMX3",2
"19","Topic2","JMJD6",3
"20","Topic2","SMAD4",4
"21","Topic2","PHF6",5
"22","Topic2","DYRK1A",6
"23","Topic2","PIAS1",7
"24","Topic2","SIAH1",8
"25","Topic2","SH3YL1",9
"26","Topic2","DPP4",10
"27","Topic2","PIAS2",11
"28","Topic2","RAD54L2",12
"29","Topic2","SMARCA5",13
"30","Topic2","PCBD1",14
"31","Topic2","KDM6A",15
"32","Topic2","ARID1A",16
"33","Topic2","ATRX",17
"34","Topic2","ADAM17",18
"35","Topic2","CABIN1",19
"36","Topic2","PHIP",20
"37","Topic2","LOC103223006",21
"38","Topic2","DPF2",22
"39","Topic2","ACVR1B",23
"40","Topic2","CTSL",24
"41","Topic3","SMARCA4",1
"42","Topic3","CTSL",2
"43","Topic3","SMAD3",3
"44","Topic3","CABIN1",4
"45","Topic3","SH3YL1",5
"46","Topic3","LOC103223006",6
"47","Topic3","ARID1A",7
"48","Topic3","SMAD4",8
"49","Topic3","DPF2",9
"50","Topic3","ATRX",10
"51","Topic3","PIAS2",11
"52","Topic3","ACVR1B",12
"53","Topic4","ACVR1B",1
"54","Topic4","DYRK1A",2
"55","Topic4","PHF6",3
"56","Topic4","ADAM17",4
"57","Topic4","ACE2",5
"58","Topic4","PCBD1",6
"59","Topic4","SMARCA5",7
"60","Topic4","RAD54L2",8
"61","Topic4","DPF2",9
"62","Topic4","ARID1A",10
"63","Topic4","DPP4",11
"64","Topic4","ATRX",12
"65","Topic4","SIAH1",13
"66","Topic4","PHIP",14
"67","Topic4","SMAD3",15
"68","Topic4","LOC103223006",16
"69","Topic4","TMX3",17
"70","Topic4","SH3YL1",18
"71","Topic4","UBXN7",19
"72","Topic4","KDM6A",20
"73","Topic4","PIAS1",21
"74","Topic4","CTSL",22
"75","Topic4","JMJD6",23
"76","Topic4","SMARCA4",24
"77","Topic4","SMAD4",25
