"","perturbation","ranking","Score","off_target"
"1","UBXN7",1,24.7776657661341,"none"
"2","SMARCA5",2,24.2973586030087,"none"
"3","DOLK",3,18.5255118068833,"none"
"4","ATRX",4,11.1250947112309,"none"
"5","PHF6",5,8.31855495497777,"none"
"6","SMAD3",6,7.49083661178804,"none"
"7","TMX3",7,7.11294451676358,"none"
"8","LOC103223006",8,5.98640830379832,"none"
"9","PIAS1",9,5.79141993185568,"none"
"10","PCBD1",10,5.71740845493996,"none"
"11","PHIP",11,5.62440524460609,"none"
"12","SIAH1",12,5.54188200687158,"none"
"13","JMJD6",13,5.38083141495255,"none"
"14","SMARCA4",14,5.18202954926567,"none"
"15","DYRK1A",15,4.95152254962141,"none"
"16","ARID1A",16,4.84215619266138,"none"
"17","CABIN1",17,4.44633191350981,"none"
"18","KDM6A",18,4.21805153671014,"none"
"19","ACE2",19,4.17162801731711,"none"
"20","RAD54L2",20,4.13949755334863,"none"
"21","ACVR1B",21,4.01871007076771,"none"
"22","CTSL",22,3.96207434449768,"none"
"23","SMAD4",23,3.81885449940124,"none"
"24","CTSL,PCBD1",24,3.66419568157777,"none"
"25","ANPEP",25,3.64407796213166,"none"
"26","DPP4",26,3.13306389022796,"none"
"27","SMARCE1",27,2.84225995847348,"none"
"28","ADAM17",28,2.65951883803532,"none"
"29","DPF2",29,2.13997287828747,"none"
"30","SH3YL1",30,1.97778999702069,"none"
"31","PIAS2",31,1.10519894835826,"none"
